Local,Ponto ,Espécie ,Abundância ,Altitude (m),Lat,Lon,Horário ,Data,Período
Trilha da caveira ,1,Chordeiles pusillus,10,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Vanellus chilensis,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Nystalus maculatus,2,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Certhiaxis cinnamomeus,2,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Pitangus sulphuratus ,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Icterus jamacaii,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Tigrisoma lineatum,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Rostrhamus sociabilis,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Myiozetetes similis,2,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,1,Crypturellus parvirostris,1,,-6.581333,-37.255639,5:13,24-Aug,2024.1
Trilha da caveira ,2,Patagioenas picazuro,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Columbina squammata,2,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Columbina picui ,2,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Leptotila verreauxi ,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Eupsittula cactorum ,50,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Hemitriccus margaritaceiventer,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Todirostrum cinereum ,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Pitangus sulphuratus ,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Cyclarhis gujanensis,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Cyanocorax cyanopogon,3,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Generanospiza caerulescens,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Glaucidium brasilianum,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,2,Lepidocolaptes angustirostris ,1,,-6.582841,-37.256092,5:30,24-Aug,2024.1
Trilha da caveira ,3,Columbina picui ,4,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Nystalus maculatus,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Dryobates passerinus ,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Eupsittula cactorum ,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Hemitriccus margaritaceiventer,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Todirostrum cinereum ,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Tolmomyias flaviventris,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Myiarchus tyrannulus ,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Cyclarhis gujanensis,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Polioptila plumbea,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Cantorchilus longirostris ,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Coryphospingus pileatus ,2,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Taraba major,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,3,Lepidocolaptes angustirostris ,1,,-6.584569,-37.255457,5:47,24-Aug,2024.1
Trilha da caveira ,4,Patagioenas picazuro,1,,-6.586417,-37.255000,6:02,24-Aug,2024.1
Trilha da caveira ,4,Columbina picui ,4,,-6.586417,-37.255000,6:02,24-Aug,2024.1
Trilha da caveira ,4,Formicivora melanogaster,1,,-6.586417,-37.255000,6:02,24-Aug,2024.1
