Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Subespecie;Nome_Cientifico_Anterior;Autor;Nome_Comum;Grupo;Mes_Ano_Avaliacao;Categoria;Possivemente_Extinta;Criterio;Justificativa;Endemica_Brasil;Consta_em_Lista_Nacional_Oficial;Estado;Regiao;Bioma;Bacia_Hidrografica;Unidade_de_Conservacao_Federal;Unidade_de_Conservacao_Estadual;RPPN;Migratoria;Tendencia_Populacional;Ameaca;Uso;Acao_Conservacao;Plano_de_Acao;Listas_e_Convencoes;Altitude_min_max_;Barimetria_min_max_
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Erythrolamprus;Erythrolamprus mossoroensis;;Erythrolamprus mossoroensis;(Hoge & Lima-Verde, 1973);;Répteis;nov/19;Menos Preocupante;;;Erythrolamprus mossoroensis é endêmica do Brasil e apresenta distribuição no bioma Caatinga a áreas adjacentes, com registros desde o Ceará até o norte de Minas Gerais. Possui ampla distribuição e não há ameaças evidentes que possam colocá-la em risco de extinção em curto prazo. Por essas razões, E. mossoroensis foi avaliada como Menos preocupante (LC).;Sim;Não;Alagoas, Bahia, Ceará, Minas Gerais, Pernambuco, Rio Grande do Norte;|Nordeste|Sudeste|;Caatinga, Cerrado, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PI Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio;APA Chapada do Araripe, FLONA do Araripe-Apodi;;;;Desconhecida;;;;;;;
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Thamnodynastes;Thamnodynastes phoenix;;;Franco, Trevine, Montingelli & Zaher, 2017;;Répteis;nov/19;Menos Preocupante;;;Thamnodynastes phoenix é endêmica do Brasil, com distribuição predominante no bioma Caatinga da região Nordeste, havendo registros também em Minas Gerais, Goiás e Tocantins. A espécie ocorre em diferentes formações abertas, é comum e possui ampla distribuição, não havendo ameaças que a coloquem em risco de extinção em curto prazo. Por essas razões, Thamnodynastes phoenix foi avaliada como Menos Preocupante (LC).;Sim;Não;Alagoas, Bahia, Ceará, Goiás, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe, Tocantins;|Centro-Oeste|Nordeste|Norte|Sudeste|;Caatinga, Cerrado, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Paraíba Sub-bacia Parnaíba Alto Sub-bacia Parnaíba Baixo Sub-bacia Parnaíba Médio Sub-bacia São Francisco Alto Sub-bacia São Francisco Baixo Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio Sub-bacia Tocantins Alto;APA do Morro da Pedreira, APA Serra da Ibiapaba, PARNA de Sete Cidades;ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, Área de Proteção Ambiental Jalapão, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, PARQUE ESTADUAL DO JALAPãO;RPPN Adília Paraguassu Batista, RPPN Córrego dos bois, RPPN Fazenda Piabas, RPPN Marvão;;Desconhecida;1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras;;;;;;
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Thamnodynastes;Thamnodynastes sertanejo;;Thamnodynastes sertanejo;Bailey, Thomas & Silva-Jr., 2005;;Répteis;nov/19;Menos Preocupante;;;Thamnodynastes sertanejo é endêmica do Brasil e possui ampla distribuição na região Nordeste, sendo registrada também no norte de Minas Gerais. Ocorre predominantemente no bioma Caatinga. Pode ser localmente afetada pela perda de vegetação nativa, mas as ameaças não devem colocar a espécie em risco de extinção em curto prazo. Por essas razões, Thamnodynastes sertanejo foi avaliada como Menos Preocupante (LC).;Sim;Não;Alagoas, Bahia, Ceará, Minas Gerais, Paraíba, Pernambuco;|Nordeste|Sudeste|;Caatinga, Cerrado, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral CE PI Sub-bacia Paraíba Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio;APA Chapada do Araripe;ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA;;;Desconhecida;;;;;;;
Animalia;Chordata;Reptilia;Squamata;Elapidae;Micrurus;Micrurus potyguara;;;Pires, Silva, Feitosa, Prudente, Pereira Filho & Zaher, 2014;Cobra-coral, Coral-verdadeira;Répteis;nov/19;Quase Ameaçada;;;Micrurus potyguara é endêmica do Brasil, do bioma Mata Atlântica, onde possui registros nos estados de Rio Grande do Norte, Paraíba e Pernambuco. Trata-se de espécie fossorial, com distribuição restrita a florestas ombrófilas costeiras de terras baixas (tabuleiros) da região Nordeste do país. Sua extensão de ocorrência foi calculada em 4.586 km². A vegetação natural remanescente na região de ocorrência da espécie encontra-se historicamente reduzida e fragmentada em decorrência de atividades agropecuárias e expansão urbana. Estes processos causam declínio da qualidade do hábitat, principalmente em decorrência do intenso uso do solo e poluição urbana e agrícola. No entanto, não há evidências de que a população esteja severamente fragmentada, pois tem havido registros em novas localidades e a espécie é fossorial. Por aproximar-se de Em Perigo (EN) pelo critério B1b(iii), Micrurus potyguara foi categorizada como Quase Ameaçada (NT).;Sim;Não;Paraíba, Pernambuco, Rio Grande do Norte;|Nordeste|;Mata Atlântica;Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Paraíba;FLONA Nísia Floresta, REBIO Guaribas;ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, PARQUE ESTADUAL DE DOIS IRMÃOS, REFúGIO DE VIDA SILVESTRE MATAS DO SISTEMA GURJAú;;;Desconhecida;1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água 9 - Poluição|9.3 - Agropecuária e florestal|9.3.3 - Herbicidas e pesticidas 9 - Poluição|9.4 - Lixo e resíduos sólidos|9.4.1 - Urbanos;;;;;;
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Psomophis;Psomophis joberti;;Psomophis joberti;(Sauvage, 1884);;Répteis;nov/19;Menos Preocupante;;;Psomophis joberti é endêmica do Brasil, com ampla distribuição ao longo do Cerrado e da Caatinga e áreas adjacentes da Amazônia e Mata Atlântica. Embora a perda de hábitat possa ser uma ameaça local para a espécie, não deve colocá-la em risco de extinção em curto prazo, uma vez que possui ampla distribuição, incluindo registros em diversas unidades de conservação. Por essas razões, Psomophis joberti foi avaliada como Menos Preocupante (LC).;Sim;Não;Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Tocantins;|Centro-Oeste|Nordeste|Norte|Sudeste|;Amazônia, Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho;Sub-bacia Araguaia Sub-bacia Foz Amazonas Sub-bacia Itapecuru Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Mearim Sub-bacia Paraíba Sub-bacia Paranaíba Sub-bacia Paraná RH1 Sub-bacia Parnaíba Alto Sub-bacia Parnaíba Baixo Sub-bacia Parnaíba Médio Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tocantins Alto Sub-bacia Tocantins Baixo;APA Chapada do Araripe, APA Serra da Ibiapaba, ESEC de Uruçuí-Una, FLONA Carajás, FLONA do Araripe-Apodi, PARNA Araguaia, PARNA da Chapada das Mesas, PARNA de Sete Cidades;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS, ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS, ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ, ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA, Área de Proteção Ambiental Jalapão, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO, PARQUE ESTADUAL DE TERRA RONCA;RPPN Fazenda Caetano, RPPN Marvão, RPPN Reserva Boca da Mata, RPPN Santa Maria de Tapuã;;Desconhecida;;;;;;;
Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Paleosuchus;Paleosuchus palpebrosus;;Paleosuchus palpebrosus;(Cuvier, 1807);Baba perro, Babilla negra, Babo morichalero, Cachirre, Cachirre negro, Caimán de frente lisa, Cocodrilo, Coroa, Curua, Cuvier’s smoothfronted caiman, Dirí-dirí, Dirín-dirín, Dwarf caiman, Jacaré-anão, Jacaré coroa, Jacaré do buraco, Jacaré- enferrujado, Jacaré-ferro, Jacaré-paguá, Jacaré-pedra, Jacaré-uma, Morichalero, pretinho, Tiritiri, Trueno-lagarto, Yacaré coroa, Yacaré curúa, Yacaré negro, Yacaré pagua, Yacaré tinga;Répteis;ago/16;Menos Preocupante;;;Paleosuchus palpebrosus ocorre em dez países da América do Sul, porém, a maior parte de sua distribuição está no Brasil, ocorrendo em quase todos os Estados. Sua extensão de ocorrência estimada para o território brasileiro é de 7.536.119 km2. Ocorre naturalmente em baixas densidades, ocupando ambientes de veredas, riachos, cabeceiras de rios e floresta inundada. Embora em algumas localidades a espécie enfrente ameaças da caça, oriunda de conflitos com moradores ribeirinhos, fragmentação, modificação e perda de habitat;;;;;;;;;;;;;;;;;;
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Erythrolamprus;Erythrolamprus viridis;;Erythrolamprus viridis;(Günther, 1862);;Répteis;nov/19;Menos Preocupante;;;Erythrolamprus viridis é endêmica do Brasil, com ampla distribuição na região Nordeste do país e norte de Minas Gerais, sendo encontrada predominantemente no bioma Caatinga. A espécie é encontrada em enclaves de mata seca e é considerada abundante. Possui registros em diversas unidades de conservação, inclusive de proteção integral, e não há ameaças evidentes que possam colocá-la em risco de extinção em curto prazo. Por essas razões, E. viridis foi avaliada como Menos Preocupante (LC).;Sim;Não;Alagoas, Bahia, Ceará, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;|Nordeste|Sudeste|;Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho;Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Litoral SE Sub-bacia Paraíba Sub-bacia Parnaíba Alto Sub-bacia Parnaíba Baixo Sub-bacia Parnaíba Médio Sub-bacia São Francisco Baixo Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio;APA Chapada do Araripe, APA Serra da Ibiapaba, ESEC Seridó, FLONA do Araripe-Apodi, PARNA de Boa Nova, PARNA de Sete Cidades, REVIS Boa Nova;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA ARATANHA, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA, ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA;;;Desconhecida;;;;;;;
Animalia;Chordata;Reptilia;Testudines;Kinosternidae;Kinosternon;Kinosternon scorpioides;;Kinosternon scorpioides;(Linnaeus, 1766);Ashna charapa, Chiribí-chivirí, Galápago mión, Guachupe, Jurara, Loro charapa, Miona, Morrocoy água, Muçuã, Pecho quebrado, Pivichigua, Scorpion mud turtle, Tapaculo, Tartaruga almiscarada, Tartaruga do lodo, Tortuga bico de papagayo, Tortuga buitre;Répteis;set/24;Menos Preocupante;;;Kinosternon scorpioides ocorre do Panamá ao norte da Argentina. No Brasil, tem registros para todos estados das regiões Norte e Centro-Oeste, quase todos da região Nordeste e, na região Sudeste, para o estado de Minas Gerais. Ocorre em várias unidades de conservação. A espécie é comum, capaz de habitar ambientes lóticos e lênticos, como riachos, lagoas, margens de lagos, pântanos e lagoas temporárias, em diferentes ecossistemas. As subpopulações dos estados do Maranhão e Pará são intensamente utilizadas na alimentação humana. Apesar das ameaças enfrentadas pela espécie não há evidências suficientes que a coloque em categoria de risco de extinção. Por essas razões, Kinosternon scorpioides foi avaliada como Menos Preocupante (LC).;Não;Não;Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Rondônia, Roraima, Tocantins;|Centro-Oeste|Nordeste|Norte|Sudeste|;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal;Sub-bacia Amapá Litoral Sub-bacia Araguaia Sub-bacia Foz Amazonas Sub-bacia Gurupi Sub-bacia Itapecuru Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jaguaribe Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Madeira Sub-bacia Mearim Sub-bacia Negro Sub-bacia Paraguai 02 Sub-bacia Paraíba Sub-bacia Parnaíba Baixo Sub-bacia Parnaíba Médio Sub-bacia Piranhas Sub-bacia Purus Sub-bacia São Francisco Baixo Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio Sub-bacia Solimões Sub-bacia Tapajós Sub-bacia Tocantins Alto Sub-bacia Tocantins Baixo Sub-bacia Trombetas Sub-bacia Xingu;APA Chapada do Araripe, APA Serra da Ibiapaba, ESEC Raso da Catarina, FLONA Amapá, FLONA Carajás, FLONA Crepori, FLONA Itacaiunas, PARNA Amazônia, PARNA da Serra da Capivara, PARNA do Catimbau, PARNA Jaú, PARNA Montanhas do Tumucumaque, PARNA Serra do Divisor, PARNA Serra do Pardo, REBIO de Pedra Talhada, REBIO do Gurupi, REBIO do Jaru, REBIO Rio Trombetas, RESEX Mãe Grande de Curuçá, RESEX MAR Soure;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE, ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE, ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES, ÁREA DE PROTEÇÃO AMBIENTAL DE ALGODOAL-MAIANDEUA, ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS, ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ, ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO, ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO, ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, FLORESTA ESTADUAL DO AMAPÁ, PARQUE ESTADUAL CHANDLESS, PARQUE ESTADUAL CRISTALINO, PARQUE ESTADUAL DE DOIS IRMÃOS, REFúGIO DE VIDA SILVESTRE MATA DA USINA SãO JOSé, REFúGIO DE VIDA SILVESTRE MATA DE MIRITIBA, REFúGIO DE VIDA SILVESTRE MATA DE TAPACURá, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA, RESERVA EXTRATIVISTA PEDRAS NEGRAS;CRISTALINO III, MADEIRAS, RPPN Arara Azul, RPPN Bela Vista, RPPN Fazenda Almas, RPPN Paculândia, RPPN Reserva Ecológica Maurício Dantas;Não;Desconhecida;11 - Mudanças e extremos climáticos|11.1 - Mudança/alteração de habitat 11 - Mudanças e extremos climáticos|11.2 - Secas 11 - Mudanças e extremos climáticos|11.3 - Extremos térmicos 1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.2 - Mineração 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.1 - Uso de subsistência/escambo local 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.2 - Comercial - Nacional/Local 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.2 - Supressão da frequência/intensidade de incêndios 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.11 - Represas (tamanho desconhecido);1 - Alimentação humana|1.1 - Caça de subsistência 1 - Alimentação humana|1.2 - Caça para comércio|1.2.1 - Nacional/Local 1 - Alimentação humana|1.3 - Criadouro comercial 3 - Animais de estimação/ornamentais 5 - Medicina humana ou veterinária;Plano de Ação Nacional (PAN);Plano de Ação Nacional para Conservação dos Quelônios;CITES - Anexo II;;
Animalia;Chordata;Reptilia;Squamata;Typhlopidae;Amerotyphlops;Amerotyphlops paucisquamus;;Amerotyphlops paucisquamus;(Dixon & Hendricks, 1979);;Répteis;nov/19;Menos Preocupante;;;Amerotyphlops paucisquamus é endêmica do Brasil, com registros nos estados do Maranhão, Ceará, Rio Grande do Norte, Paraíba, Pernambuco e Alagoas. A espécie é encontrada somente em áreas de restinga e florestas costeiras. Apesar de haver conversão da área natural em pasto, plantio de cana-de-açúcar e expansão urbana em várias regiões ao longo da distribuição da espécie, essas ameaças não devem colocá-la em risco de extinção em curto prazo, pois ela é abundante localmente e pode ser encontrada também em áreas moderadamente antropizadas. Por estas razões, Amerotyphlops paucisquamus foi avaliada como Menos Preocupante (LC).;Sim;Sim;Alagoas, Ceará, Maranhão, Paraíba, Pernambuco, Rio Grande do Norte;|Nordeste|;Amazônia, Caatinga, Cerrado, Mata Atlântica;Sub-bacia Itapecuru Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Mearim Sub-bacia Paraíba;APA Barra do Rio Mamanguape;ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ, ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS, ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO;RPPN Fazenda Boa Esperança, RPPN Sítio Jaquarema;;Desconhecida;;;Implementação de corredores, Plano de Ação Nacional (PAN), Proteção de locais/áreas, Proteção de recursos/habitat;Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo;Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014;;
Animalia;Chordata;Reptilia;Squamata;Dipsadidae;Dipsas;Dipsas sazimai;;Dipsas sazimai;Fernandes, Marques & Argôlo, 2010;;Répteis;nov/19;Menos Preocupante;;;Dipsas sazimai é endêmica do Brasil, com registros de ocorrência entre o estado de Pernambuco e o norte de São Paulo. A espécie parece ocorrer em baixa densidade e é encontrada em ambientes florestais, podendo ser localmente afetada por atividades antrópicas, principalmente o avanço da agropecuária e expansão urbana. No entanto, considerando sua ampla distribuição, as ameaças não devem colocá-la em risco de extinção em curto prazo. Além disso, ocorre em unidades de conservação, inclusive de proteção integral. Por essas razões, Dipsas sazimai foi avaliada como Menos Preocupante (LC).;Sim;Não;Alagoas, Bahia, Espírito Santo, Pernambuco, Rio de Janeiro, São Paulo;|Nordeste|Sudeste|;Caatinga, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu Sub-bacia Litoral AL PE PB Sub-bacia Litoral RJ Sub-bacia Litoral SP;APA Bacia do Rio São João/Mico-Leão-Dourado;ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DAS SETE PASSAGENS;RPPN Morro Grande;;Desconhecida;1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras 2 - Agropecuária e Aquacultura|2.3 - Pecuária;;Plano de Ação Nacional (PAN);Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo, Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil;;;
